ID,X,Y,Z
N166,3.26047,5.64073,6.0
N167,3.26047,3.8307,0.2
N168,3.26047,5.64273,0.2
N169,3.26047,3.8307,3.2
N170,3.26047,5.64273,3.2
N171,3.26047,3.8307,6.0
N172,3.26047,5.64273,6.0
N173,3.26047,6.84057,0.2
N174,3.26047,6.84057,3.2
N175,3.26047,6.84057,6.0
N176,0.0,3.42078,6.0
N177,3.26047,3.42078,6.0
N178,3.25947,3.42078,0.2
N179,3.25947,3.42078,3.2
N180,3.25947,3.42078,6.0
N181,0.001,3.42078,0.2
N182,0.001,3.42078,3.2
N183,0.001,3.42078,6.0
N184,1.26899,6.84157,0.2
N185,1.26899,6.84157,3.2
N186,1.26899,6.84157,6.0
N187,3.25947,6.84157,0.2
N188,3.25947,6.84157,3.2
N189,3.25947,6.84157,6.0
N190,8.35117,3.8317,6.0
N191,8.35117,10.67327,6.0
N192,8.35117,3.8327,0.2
N193,8.35117,3.8327,3.2
N194,8.35117,3.8327,6.0
N195,8.35117,5.64073,0.2
N196,8.35117,8.65124,0.2
N197,8.35117,5.64073,3.2
N198,8.35117,8.65124,3.2
N199,8.35117,5.64073,6.0
N200,8.35117,8.65124,6.0
N201,8.35117,5.64273,0.2
N202,8.35117,5.64273,3.2
N203,8.35117,5.64273,6.0
N204,11.61164,3.8317,6.0
N205,11.61164,10.67327,6.0
N206,11.61164,3.8327,0.2
N207,11.61164,3.8327,3.2
N208,11.61164,3.8327,6.0
N209,11.61164,3.8317,2.42414
N210,11.61164,3.8327,2.42414
N211,11.61164,3.8317,4.44829
N212,11.61164,3.8327,4.44829
N213,8.35217,3.8317,0.2
N214,8.35217,3.8317,3.2
N215,8.35217,3.8317,6.0
N216,11.61064,3.8317,0.2
N217,11.61064,3.8317,2.42414
N218,11.61064,3.8317,4.44829
N219,8.35117,7.25248,6.0
N220,11.61164,7.25248,6.0
N221,8.35217,7.25248,0.2
N222,8.35217,7.25248,3.2
N223,8.35217,7.25248,6.0
N224,3.26047,1.34675,0.2
N225,3.26047,3.8317,0.2
N226,3.26047,1.34675,3.2
N227,3.26047,3.8317,3.2
N228,3.26047,1.34675,6.0
N229,3.26047,3.8317,6.0
N230,7.43605,1.34675,0.2
N231,7.43605,3.8317,0.2
N232,7.43605,1.34675,3.2
N233,7.43605,3.8317,3.2
N234,7.43605,1.34675,6.0
N235,7.43605,3.8317,6.0
N236,7.43605,1.34775,0.2
N237,7.43605,1.34675,1.7
N238,7.43605,1.34775,1.7
N239,7.43605,1.34675,3.0
N240,7.43605,1.34775,3.0
N241,7.43605,3.8307,0.2
N242,7.43605,3.8307,3.2
N243,7.43605,3.8307,6.0
N244,11.61164,3.8307,0.2
N245,11.61164,3.8307,3.2
N246,11.61164,3.8307,6.0
N247,11.61164,1.34675,6.0
N248,11.61164,1.34775,0.2
N249,11.61164,1.34675,1.7
N250,11.61164,1.34775,1.7
N251,11.61164,1.34775,3.0
N252,11.61164,1.34675,2.42414
N253,11.61164,1.34675,4.44829
N254,3.26147,1.34675,0.2
N255,3.26147,1.34675,3.2
N256,3.26147,1.34675,6.0
N257,6.51994,1.34675,0.2
N258,6.51994,1.34675,1.7
N259,6.51994,1.34675,3.0
N260,11.61064,1.34675,0.2
N261,11.61064,1.34675,2.42414
N262,11.61064,1.34675,4.44829
N263,3.26147,3.8317,0.2
N264,3.26147,3.8317,3.2
N265,3.26147,3.8317,6.0
N266,8.35017,3.8317,0.2
N267,8.35017,3.8317,3.2
N268,8.35017,3.8317,6.0
N269,3.26047,5.64173,0.2
N270,3.26047,6.84257,0.2
N271,3.26047,5.64173,3.2
N272,3.26047,6.84257,3.2
N273,3.26047,5.64173,6.0
N274,3.26047,6.84257,6.0
N275,3.26047,8.65024,6.0
N276,8.35117,8.65024,0.2
N277,8.35117,8.65024,3.2
N278,8.35117,5.64173,6.0
N279,8.35117,8.65024,6.0
N280,3.26147,5.64173,0.2
N281,3.26147,5.64173,3.2
N282,3.26147,5.64173,6.0
N283,8.35017,5.64173,0.2
N284,8.35017,5.64173,3.2
N285,8.35017,5.64173,6.0
N286,8.35017,8.65024,0.2
N287,8.35017,8.65024,3.2
N288,8.35017,8.65024,6.0
N289,3.26147,8.65024,0.2
N290,3.26147,8.65024,3.2
N291,3.26147,8.65024,6.0
N292,6.52094,1.34575,0.2
N293,6.52094,1.34575,3.2
N294,6.52094,1.34575,6.0
N295,6.52094,1.34675,6.0
N296,6.52094,1.34675,1.7
N297,6.52094,-1.66175,3.0
N298,11.61164,1.34575,0.2
N299,11.61164,1.34575,3.2
N300,11.61164,1.34575,6.0
N301,11.61164,-1.66175,3.0
N302,11.61164,1.34575,2.42414
N303,11.61164,1.34575,4.44829
N304,-2.56049,1.99519,6.0
N305,-2.56049,4.97135,6.0
N306,0.0,1.99519,0.2
N307,0.0,1.99519,3.2
N308,0.0,1.99519,6.0
N309,0.0,4.97135,6.0
N310,-0.001,1.99519,0.2
N311,-0.001,1.99519,3.2
N312,-0.001,1.99519,6.0
N313,-0.001,4.97135,0.2
N314,-0.001,4.97135,3.2
N315,-0.001,4.97135,6.0
N316,-1.78004,4.97135,0.2
N317,-1.78004,4.97135,3.2
N318,-1.78004,4.97135,6.0
N319,1.26799,10.45891,0.2
N320,1.26799,10.45891,3.2
N321,1.26799,10.45891,6.0
N322,3.26047,8.65124,0.2
N323,3.26047,8.65124,3.2
N324,3.26047,8.65124,6.0
N325,3.26047,10.45891,6.0
N326,1.26899,10.45891,0.2
N327,1.26899,10.45891,3.2
N328,1.26899,10.45891,6.0
N329,14.03746,1.34675,4.44829
N330,14.03746,3.8317,4.44829
N331,11.61264,1.34675,0.2
N332,11.61264,1.34675,3.2
N333,11.61264,1.34675,6.0
N334,11.61264,1.34675,1.7
N335,11.61264,1.34675,3.0
N336,11.61264,3.8317,0.2
N337,11.61264,3.8317,3.2
N338,11.61264,3.8317,6.0
N339,-1.77904,6.84057,0.2
N340,-1.77904,6.84157,0.2
N341,-1.77904,6.84057,3.2
N342,-1.77904,6.84157,3.2
N343,-1.77904,6.84057,6.0
N344,-1.77904,6.84157,6.0
N345,-1.77904,4.97135,0.2
N346,-1.77904,4.97235,0.2
N347,-1.77904,4.97135,3.2
N348,-1.77904,4.97235,3.2
N349,-1.77904,4.97135,6.0
N350,-1.77904,4.97235,6.0
